exchange,product,trade_date,check,reason
DCE,EG,2019-03-18,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-18'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-19,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-19'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-20,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-20'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-21,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-21'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-22,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-22'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-25,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-25'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-26,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-26'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-27,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-27'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-28,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-28'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-29,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-29'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
SHFE,AU,2019-12-26,session_exception_unconsumed,loaded session exception was never consumed by an audited product-day observation
GFEX,PT,2026-01-05,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-05'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-06,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-06'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-07,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-07'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
